"address"	"lat"	"lng"
"Ithaca, NY, USA"	42.4439614	-76.5018807
"Toronto, ON, Canada"	43.653226	-79.3831843
"Lake Leelanau, MI 49653, USA"	44.9809363	-85.7153165
"Maastricht, Netherlands"	50.8513682	5.6909725
"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"	3.139003	101.686855
"Raleigh, NC, USA"	35.7795897	-78.6381787
"Canada"	56.130366	-106.346771
"Montreal, QC, Canada"	45.5016889	-73.567256
"Berkeley, CA, USA"	37.8715926	-122.272747
"Fairborn, OH 45324, USA"	39.8208925	-84.0193789
"Toronto, ON, Canada"	43.653226	-79.3831843
"Montreal, QC, Canada"	45.5016889	-73.567256
"Tempe, AZ, USA"	33.4255104	-111.9400054
"Bunzlauer Pl. 5, 80992 München, Germany"	48.1793735	11.5059667
"Phoenix, AZ, USA"	33.4483771	-112.0740373
"New York, NY, USA"	40.7127837	-74.0059413
"Leeds, UK"	53.8007554	-1.5490774
"Atlanta, GA, USA"	33.7489954	-84.3879824
"Miami, FL, USA"	25.7616798	-80.1917902
"Aberystwyth, UK"	52.415303	-4.08292
"Indianapolis, IN, USA"	39.768403	-86.158068
"London, ON, Canada"	42.9849233	-81.2452768
"Kensington, London SW7 2AZ, UK"	51.4987997	-0.1748772
"Columbus, OH, USA"	39.9611755	-82.9987942
"Europe"	54.5259614	15.2551187
"Tromsø, Norway"	69.6492047	18.9553238
"610 Purdue Mall, West Lafayette, IN 47907, USA"	40.4237054	-86.9211946
"New York, NY, USA"	40.7127837	-74.0059413
"New York, NY, USA"	40.7127837	-74.0059413
"Aberdeen, UK"	57.149717	-2.094278
"Rabat, Morocco"	33.9715904	-6.8498129
"Carlisle, PA 17013, USA"	40.2010241	-77.2002745
"Boston, MA, USA"	42.3600825	-71.0588801
"United States"	37.09024	-95.712891
"2505 Mill Center Pkwy, Buford, GA 30518, USA"	34.1140497	-83.9811014
"Thessaloniki, Greece"	40.6400629	22.9444191
"Brisbane QLD, Australia"	-27.4697707	153.0251235
"Illinois, USA"	40.6331249	-89.3985283
"United States"	37.09024	-95.712891
"London, UK"	51.5073509	-0.1277583
"Georgia, USA"	32.1656221	-82.9000751
"Nashville, TN, USA"	36.1626638	-86.7816016
"2505 Mill Center Pkwy, Buford, GA 30518, USA"	34.1140497	-83.9811014
"Region Syddanmark, Denmark"	55.3307714	9.0924903
"Missouri, USA"	37.9642529	-91.8318334
"Dublin, Ireland"	53.3498053	-6.2603097
"Chelsea Market, 75 9th Ave, New York, NY 10011, USA"	40.7427149	-74.0060199
"Montreal, QC, Canada"	45.5016889	-73.567256
"Ottawa, ON, Canada"	45.4215296	-75.6971931
"Indiana, USA"	40.2671941	-86.1349019
"Dallas, TX, USA"	32.7766642	-96.7969879
"Boston, MA, USA"	42.3600825	-71.0588801
"Montpellier, France"	43.610769	3.876716
"North Bethesda, MD, USA"	39.0445535	-77.1188678
